Name_pollution,Geo Place Name,Time Period,Data Value_pollution,Annual vehicle miles traveled,Annual vehicle miles travelled (cars),Annual vehicle miles travelled (trucks)
Outdoor Air Toxics - Benzene,Bayside - Little Neck,2005,1.9,33.8,31.7,2.0
Outdoor Air Toxics - Benzene,Bedford Stuyvesant - Crown Heights,2005,2.5,33.8,32.6,1.1
Outdoor Air Toxics - Benzene,Bensonhurst - Bay Ridge,2005,2.8,23.1,22.0,1.0
Outdoor Air Toxics - Benzene,Borough Park,2005,2.5,21.6,20.5,1.1
Outdoor Air Toxics - Benzene,Bronx,2005,2.8,0.0,23.9,0.0
Outdoor Air Toxics - Benzene,Brooklyn,2005,2.8,0.0,23.8,0.0
Outdoor Air Toxics - Benzene,Canarsie - Flatlands,2005,2.4,16.0,15.5,0.4
Outdoor Air Toxics - Benzene,Central Harlem - Morningside Heights,2005,3.9,36.9,35.7,0.9
Outdoor Air Toxics - Benzene,Chelsea - Clinton,2005,4.9,46.1,42.0,3.4
Outdoor Air Toxics - Benzene,Coney Island - Sheepshead Bay,2005,2.4,15.9,15.1,0.6
Outdoor Air Toxics - Benzene,Crotona -Tremont,2005,3.0,39.6,36.3,3.0
Outdoor Air Toxics - Benzene,Downtown - Heights - Slope,2005,3.7,41.7,38.8,2.7
Outdoor Air Toxics - Benzene,East Flatbush - Flatbush,2005,2.3,26.3,25.3,0.9
Outdoor Air Toxics - Benzene,East Harlem,2005,4.2,53.1,50.6,2.1
Outdoor Air Toxics - Benzene,East New York,2005,2.3,20.1,17.7,2.3
Outdoor Air Toxics - Benzene,Flushing - Clearview,2005,1.9,19.6,18.3,1.2
Outdoor Air Toxics - Benzene,Fordham - Bronx Pk,2005,2.7,23.8,22.8,0.7
Outdoor Air Toxics - Benzene,Fresh Meadows,2005,1.7,34.3,32.1,2.1
Outdoor Air Toxics - Benzene,Gramercy Park - Murray Hill,2005,5.3,78.6,72.8,4.4
Outdoor Air Toxics - Benzene,Greenpoint,2005,3.7,30.2,28.2,2.0
Outdoor Air Toxics - Benzene,Greenwich Village - SoHo,2005,4.7,47.5,43.5,3.8
Outdoor Air Toxics - Benzene,High Bridge - Morrisania,2005,3.0,36.1,33.0,2.8
Outdoor Air Toxics - Benzene,Hunts Point - Mott Haven,2005,2.8,21.3,19.8,1.4
Outdoor Air Toxics - Benzene,Jamaica,2005,1.8,19.4,18.6,0.6
Outdoor Air Toxics - Benzene,Kingsbridge - Riverdale,2005,2.9,24.6,22.6,1.9
Outdoor Air Toxics - Benzene,Long Island City - Astoria,2005,2.7,18.6,17.3,1.2
Outdoor Air Toxics - Benzene,Lower Manhattan,2005,6.3,39.8,37.6,1.6
Outdoor Air Toxics - Benzene,Manhattan,2005,4.7,0.0,48.0,0.0
Outdoor Air Toxics - Benzene,New York City,2005,2.9,24.0,22.6,1.3
Outdoor Air Toxics - Benzene,Northeast Bronx,2005,2.8,16.7,14.6,1.9
Outdoor Air Toxics - Benzene,Pelham - Throgs Neck,2005,2.7,22.8,20.6,2.1
Outdoor Air Toxics - Benzene,Port Richmond,2005,2.5,7.7,7.3,0.3
Outdoor Air Toxics - Benzene,Queens,2005,1.9,0.0,23.5,0.0
Outdoor Air Toxics - Benzene,Ridgewood - Forest Hills,2005,2.0,26.3,25.1,1.0
Outdoor Air Toxics - Benzene,Rockaways,2005,1.4,4.9,4.7,0.2
Outdoor Air Toxics - Benzene,South Beach - Tottenville,2005,1.1,6.2,5.8,0.3
Outdoor Air Toxics - Benzene,Southeast Queens,2005,1.8,26.4,25.8,0.5
Outdoor Air Toxics - Benzene,Southwest Queens,2005,1.8,21.9,20.4,1.4
Outdoor Air Toxics - Benzene,Stapleton - St. George,2005,1.3,13.9,13.0,0.8
Outdoor Air Toxics - Benzene,Staten Island,2005,1.6,0.0,9.8,0.0
Outdoor Air Toxics - Benzene,Sunset Park,2005,3.2,30.7,28.8,1.8
Outdoor Air Toxics - Benzene,Union Square - Lower East Side,2005,5.0,52.9,49.3,3.2
Outdoor Air Toxics - Benzene,Upper East Side,2005,4.5,54.7,51.2,2.9
Outdoor Air Toxics - Benzene,Upper West Side,2005,3.9,49.5,47.2,1.9
Outdoor Air Toxics - Benzene,Washington Heights,2005,4.1,44.4,42.6,1.6
Outdoor Air Toxics - Benzene,West Queens,2005,2.2,40.8,38.7,2.0
Outdoor Air Toxics - Benzene,Williamsburg - Bushwick,2005,2.8,15.5,14.8,0.5
Outdoor Air Toxics - Benzene,Willowbrook,2005,1.6,13.1,12.2,0.8
Outdoor Air Toxics - Formaldehyde,Bayside - Little Neck,2005,2.5,33.8,31.7,2.0
Outdoor Air Toxics - Formaldehyde,Bedford Stuyvesant - Crown Heights,2005,3.0,33.8,32.6,1.1
Outdoor Air Toxics - Formaldehyde,Bensonhurst - Bay Ridge,2005,2.7,23.1,22.0,1.0
Outdoor Air Toxics - Formaldehyde,Borough Park,2005,2.9,21.6,20.5,1.1
Outdoor Air Toxics - Formaldehyde,Bronx,2005,3.3,0.0,23.9,0.0
Outdoor Air Toxics - Formaldehyde,Brooklyn,2005,3.0,0.0,23.8,0.0
Outdoor Air Toxics - Formaldehyde,Canarsie - Flatlands,2005,2.8,16.0,15.5,0.4
Outdoor Air Toxics - Formaldehyde,Central Harlem - Morningside Heights,2005,4.2,36.9,35.7,0.9
Outdoor Air Toxics - Formaldehyde,Chelsea - Clinton,2005,4.6,46.1,42.0,3.4
Outdoor Air Toxics - Formaldehyde,Coney Island - Sheepshead Bay,2005,2.5,15.9,15.1,0.6
Outdoor Air Toxics - Formaldehyde,Crotona -Tremont,2005,3.4,39.6,36.3,3.0
Outdoor Air Toxics - Formaldehyde,Downtown - Heights - Slope,2005,3.2,41.7,38.8,2.7
Outdoor Air Toxics - Formaldehyde,East Flatbush - Flatbush,2005,2.8,26.3,25.3,0.9
Outdoor Air Toxics - Formaldehyde,East Harlem,2005,4.2,53.1,50.6,2.1
Outdoor Air Toxics - Formaldehyde,East New York,2005,2.8,20.1,17.7,2.3
Outdoor Air Toxics - Formaldehyde,Flushing - Clearview,2005,2.7,19.6,18.3,1.2
Outdoor Air Toxics - Formaldehyde,Fordham - Bronx Pk,2005,3.2,23.8,22.8,0.7
Outdoor Air Toxics - Formaldehyde,Fresh Meadows,2005,2.3,34.3,32.1,2.1
Outdoor Air Toxics - Formaldehyde,Gramercy Park - Murray Hill,2005,5.3,78.6,72.8,4.4
Outdoor Air Toxics - Formaldehyde,Greenpoint,2005,3.5,30.2,28.2,2.0
Outdoor Air Toxics - Formaldehyde,Greenwich Village - SoHo,2005,4.0,47.5,43.5,3.8
Outdoor Air Toxics - Formaldehyde,High Bridge - Morrisania,2005,3.6,36.1,33.0,2.8
Outdoor Air Toxics - Formaldehyde,Hunts Point - Mott Haven,2005,3.5,21.3,19.8,1.4
Outdoor Air Toxics - Formaldehyde,Jamaica,2005,2.4,19.4,18.6,0.6
Outdoor Air Toxics - Formaldehyde,Kingsbridge - Riverdale,2005,3.2,24.6,22.6,1.9
Outdoor Air Toxics - Formaldehyde,Long Island City - Astoria,2005,3.6,18.6,17.3,1.2
Outdoor Air Toxics - Formaldehyde,Lower Manhattan,2005,4.2,39.8,37.6,1.6
Outdoor Air Toxics - Formaldehyde,Manhattan,2005,4.3,0.0,48.0,0.0
Outdoor Air Toxics - Formaldehyde,New York City,2005,3.2,24.0,22.6,1.3
Outdoor Air Toxics - Formaldehyde,Northeast Bronx,2005,3.2,16.7,14.6,1.9
Outdoor Air Toxics - Formaldehyde,Pelham - Throgs Neck,2005,3.2,22.8,20.6,2.1
Outdoor Air Toxics - Formaldehyde,Port Richmond,2005,2.4,7.7,7.3,0.3
Outdoor Air Toxics - Formaldehyde,Queens,2005,2.7,0.0,23.5,0.0
Outdoor Air Toxics - Formaldehyde,Ridgewood - Forest Hills,2005,3.0,26.3,25.1,1.0
Outdoor Air Toxics - Formaldehyde,Rockaways,2005,2.0,4.9,4.7,0.2
Outdoor Air Toxics - Formaldehyde,South Beach - Tottenville,2005,2.2,6.2,5.8,0.3
Outdoor Air Toxics - Formaldehyde,Southeast Queens,2005,2.4,26.4,25.8,0.5
Outdoor Air Toxics - Formaldehyde,Southwest Queens,2005,2.4,21.9,20.4,1.4
Outdoor Air Toxics - Formaldehyde,Stapleton - St. George,2005,2.3,13.9,13.0,0.8
Outdoor Air Toxics - Formaldehyde,Staten Island,2005,2.3,0.0,9.8,0.0
Outdoor Air Toxics - Formaldehyde,Sunset Park,2005,3.2,30.7,28.8,1.8
Outdoor Air Toxics - Formaldehyde,Union Square - Lower East Side,2005,4.0,52.9,49.3,3.2
Outdoor Air Toxics - Formaldehyde,Upper East Side,2005,4.5,54.7,51.2,2.9
Outdoor Air Toxics - Formaldehyde,Upper West Side,2005,4.0,49.5,47.2,1.9
Outdoor Air Toxics - Formaldehyde,Washington Heights,2005,3.9,44.4,42.6,1.6
Outdoor Air Toxics - Formaldehyde,West Queens,2005,3.4,40.8,38.7,2.0
Outdoor Air Toxics - Formaldehyde,Williamsburg - Bushwick,2005,3.1,15.5,14.8,0.5
Outdoor Air Toxics - Formaldehyde,Willowbrook,2005,2.3,13.1,12.2,0.8
